GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth,com.example.auth.validator,PasswordPolicyValidator,42,29,17,7,10,8,12,3,1,2
auth,com.example.auth.controller,AuthController,38,6,0,0,7,3,5,1,5,1
auth,com.example.auth,AuthApplication,5,3,0,0,2,1,1,1,1,1
auth,com.example.auth.service,AuthService,25,140,5,13,4,33,4,10,0,5
auth,com.example.auth.config,SecurityConfig,0,27,0,0,0,7,0,5,0,5
auth,com.example.auth.entity,User,24,42,0,0,7,13,7,8,7,8
auth,com.example.auth.exception,ResourceConflictException,0,4,0,0,0,2,0,1,0,1
auth,com.example.auth.exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
auth,com.example.auth.exception,GlobalExceptionHandler,72,3,2,0,13,1,5,1,4,1
auth,com.example.auth.exception,AuthenticationFailedException,0,4,0,0,0,2,0,1,0,1
